EmployeeId,Date,Reason
E-00003,1998-09-14,Emergency
E-00003,1998-09-23,Study
E-00003,1998-10-13,Article 188
E-00003,1998-11-04,Loyalty
E-00003,1998-11-30,Kit Day
E-00003,1998-12-22,Maternity
E-00003,1998-12-30,Sickness
E-00003,1999-01-21,Time off in Lieu
E-00003,1999-02-03,Paternity
E-00003,1999-02-11,Fertility Support
E-00003,1999-04-23,Emergency
E-00003,1999-05-07,Dependants
E-00003,1999-06-18,Fertility Support
E-00003,1999-08-27,Dependants
E-00003,1999-09-01,Loyalty
E-00003,1999-09-15,Study
E-00003,1999-09-21,Moving Day
E-00003,1999-10-07,Fertility Support
E-00003,1999-10-14,Sickness
E-00003,1999-11-02,Loyalty
E-00003,1999-11-12,SEGRO Paid Parental
E-00003,1999-12-20,SEGRO Paid Parental
E-00003,2000-01-14,Compassionate
E-00003,2000-02-08,Loyalty
E-00003,2000-03-15,Sickness
E-00003,2000-03-24,Kit Day
E-00003,2000-04-20,Emergency
E-00003,2000-07-07,Article 188
E-00003,2000-10-25,Maternity
E-00003,2001-01-09,Article 188
E-00003,2001-01-11,Compassionate
E-00003,2001-01-24,Compassionate
E-00003,2001-03-20,Fertility Support
E-00003,2001-04-17,Compassionate
E-00003,2001-06-21,Other Special
E-00003,2001-07-17,Flexible Personal Leave
E-00004,2019-12-05,Parental
E-00004,2020-01-09,Emergency
E-00004,2020-01-23,Dependants
E-00004,2020-03-06,Emergency
E-00004,2020-03-11,Fertility Support
E-00004,2020-03-25,SEGRO Paid Paternity
E-00004,2020-04-02,Parental
E-00004,2020-04-29,Fertility Support
E-00004,2020-06-10,SEGRO Paid Paternity
E-00004,2020-06-29,Time off in Lieu
E-00004,2020-07-31,Emergency
E-00004,2020-08-06,Parental
E-00004,2020-08-21,Moving Day
E-00004,2020-10-07,Ex-Festività
E-00004,2021-01-07,Dependants
E-00004,2021-01-08,Other Special
E-00004,2021-04-12,Flexible Personal Leave
E-00005,2014-09-04,Other Special
E-00005,2014-09-18,SEGRO Paid Paternity
E-00005,2014-10-14,SEGRO Paid Paternity
E-00005,2014-11-17,Dependants
E-00005,2014-11-27,Emergency
E-00005,2015-01-05,SEGRO Paid Paternity
E-00005,2015-01-15,Compassionate
E-00005,2015-01-26,Article 188
E-00005,2015-06-11,Moving Day
E-00005,2015-06-26,Other Special
E-00005,2015-06-30,Emergency
E-00005,2015-07-09,Kit Day
E-00005,2015-07-13,Paternity
E-00005,2015-07-28,SEGRO Paid Paternity
E-00005,2015-08-13,Compassionate
E-00005,2015-08-17,SEGRO Paid Parental
E-00005,2015-09-21,Study
E-00005,2015-10-30,Time off in Lieu
E-00005,2015-11-05,Sickness
E-00005,2015-11-06,Kit Day
E-00005,2015-11-12,Parental
E-00005,2015-11-13,SEGRO Paid Paternity
E-00005,2015-11-16,Fertility Support
E-00005,2015-12-01,Parental
E-00005,2015-12-28,Article 188
E-00005,2015-12-31,Moving Day
E-00005,2016-01-12,SEGRO Paid Paternity
E-00005,2016-01-13,Sickness
E-00005,2016-02-16,Sickness
E-00005,2016-04-06,SEGRO Paid Parental
E-00005,2016-04-14,SEGRO Paid Parental
E-00005,2016-04-18,Dependants
E-00005,2016-04-25,Paternity
E-00005,2016-04-26,Childcare
E-00005,2016-07-20,Article 188
E-00005,2016-07-28,Compassionate
E-00005,2016-09-20,Compassionate
E-00005,2016-09-27,Article 188
E-00005,2016-10-06,Article 188
E-00005,2016-10-17,Fertility Support
E-00005,2016-11-22,Time off in Lieu
E-00005,2016-12-05,Emergency
E-00005,2016-12-07,Loyalty
E-00005,2016-12-26,Kit Day
E-00005,2016-12-28,Fertility Support
E-00005,2017-01-16,Compassionate
E-00005,2017-02-08,Sickness
E-00005,2017-02-21,Other Special
E-00005,2017-03-01,Study
E-00005,2017-03-02,SEGRO Paid Parental
E-00005,2017-03-30,Time off in Lieu
E-00005,2017-04-04,SEGRO Paid Paternity
E-00005,2017-04-11,Sickness
E-00005,2017-04-14,Article 188
E-00005,2017-05-17,SEGRO Paid Paternity
E-00005,2017-05-18,Parental
E-00005,2017-05-22,Fertility Support
E-00005,2017-05-24,Article 188
E-00005,2017-05-25,Sickness
E-00005,2017-06-06,SEGRO Paid Paternity
E-00005,2017-06-07,Time off in Lieu
E-00005,2017-06-13,Flexible Personal Leave
E-00005,2017-06-27,Childcare
E-00005,2017-07-10,Unpaid
E-00005,2017-07-20,Parental
E-00005,2017-07-24,Sickness
E-00005,2017-08-03,Article 188
E-00005,2017-08-21,Time off in Lieu
E-00005,2017-09-21,Flexible Personal Leave
E-00005,2017-10-03,Flexible Personal Leave
E-00005,2017-10-30,Loyalty
E-00005,2017-11-02,Compassionate
E-00005,2017-11-07,Time off in Lieu
E-00005,2017-11-27,Kit Day
E-00005,2017-12-06,SEGRO Paid Parental
E-00005,2017-12-27,SEGRO Paid Parental
E-00005,2018-01-03,Emergency
E-00005,2018-01-10,Flexible Personal Leave
E-00005,2018-02-09,Fertility Support
E-00005,2018-02-12,Fertility Support
E-00005,2018-03-06,Parental
E-00005,2018-03-20,Loyalty
E-00005,2018-03-21,Maternity
E-00005,2018-03-29,Article 188
E-00005,2018-04-05,Study
E-00005,2018-04-17,Moving Day
E-00005,2018-05-08,Emergency
E-00005,2018-05-14,Article 188
E-00005,2018-06-01,Dependants
E-00005,2018-06-11,Parental
E-00005,2018-06-20,Maternity
E-00005,2018-06-29,Childcare
E-00005,2018-07-09,Parental
E-00005,2018-07-17,Flexible Personal Leave
E-00005,2018-07-26,Ex-Festività
E-00005,2018-07-27,Flexible Personal Leave
E-00005,2018-07-30,Unpaid
E-00005,2018-08-02,Parental
E-00005,2018-08-21,Article 188
E-00005,2018-10-10,Kit Day
E-00005,2018-10-16,Childcare
E-00005,2018-10-25,Unpaid
E-00005,2018-11-26,Compassionate
E-00005,2018-12-03,Parental
E-00005,2018-12-10,Other Special
E-00005,2019-01-09,SEGRO Paid Paternity
E-00005,2019-01-18,Kit Day
E-00005,2019-01-22,SEGRO Paid Parental
E-00005,2019-02-13,Paternity
E-00005,2019-02-22,Kit Day
E-00005,2019-03-06,Flexible Personal Leave
E-00005,2019-03-28,Loyalty
E-00005,2019-04-08,Paternity
E-00005,2019-04-09,Sickness
E-00005,2019-04-26,Flexible Personal Leave
E-00005,2019-05-01,Flexible Personal Leave
E-00005,2019-05-13,Other Special
E-00005,2019-05-14,Parental
E-00005,2019-05-29,SEGRO Paid Parental
E-00005,2019-06-12,Compassionate
E-00005,2019-06-19,Article 188
E-00005,2019-07-18,SEGRO Paid Parental
E-00005,2019-08-05,SEGRO Paid Parental
E-00005,2019-08-16,Dependants
E-00005,2019-09-04,Other Special
E-00005,2019-09-09,Emergency
E-00005,2019-09-23,Loyalty
E-00005,2019-10-03,Fertility Support
E-00005,2019-10-07,Study
E-00005,2019-10-11,Compassionate
E-00005,2019-12-10,SEGRO Paid Parental
E-00005,2019-12-11,Flexible Personal Leave
E-00005,2020-01-24,Study
E-00005,2020-01-29,Ex-Festività
E-00005,2020-02-25,SEGRO Paid Parental
E-00005,2020-02-28,Article 188
E-00005,2020-03-11,Kit Day
E-00005,2020-03-20,Maternity
E-00005,2020-03-30,Paternity
E-00005,2020-04-01,SEGRO Paid Paternity
E-00005,2020-04-14,SEGRO Paid Paternity
E-00005,2020-04-15,Emergency
E-00005,2020-05-01,Compassionate
E-00005,2020-05-19,Kit Day
E-00005,2020-05-26,Loyalty
E-00005,2020-05-29,Sickness
E-00005,2020-06-15,Maternity
E-00005,2020-06-18,Emergency
E-00005,2020-07-09,Time off in Lieu
E-00005,2020-07-13,Compassionate
E-00005,2020-07-16,SEGRO Paid Parental
E-00005,2020-07-21,Kit Day
E-00005,2020-08-07,Other Special
E-00005,2020-08-10,Other Special
E-00005,2020-09-15,Flexible Personal Leave
E-00005,2020-10-20,Flexible Personal Leave
E-00005,2020-11-18,Flexible Personal Leave
E-00005,2020-11-26,Article 188
E-00005,2020-12-24,Dependants
E-00005,2021-01-01,Time off in Lieu
E-00005,2021-01-18,SEGRO Paid Parental
E-00005,2021-02-11,Unpaid
E-00005,2021-02-23,SEGRO Paid Parental
E-00005,2021-04-22,Compassionate
E-00005,2021-04-29,Other Special
E-00005,2021-05-05,Childcare
E-00005,2021-05-12,Paternity
E-00005,2021-06-08,Sickness
E-00005,2021-06-17,Ex-Festività
E-00005,2021-06-29,Maternity
E-00005,2021-07-20,Childcare
E-00005,2021-07-27,Emergency
E-00005,2021-09-09,Fertility Support
E-00005,2021-10-13,Emergency
E-00005,2021-10-22,Loyalty
E-00005,2021-11-12,Article 188
E-00005,2021-11-18,SEGRO Paid Paternity
E-00005,2021-11-22,Flexible Personal Leave
E-00005,2021-11-23,Emergency
E-00005,2021-12-02,Loyalty
E-00005,2022-01-06,Compassionate
E-00005,2022-03-01,SEGRO Paid Parental
E-00005,2022-03-15,Ex-Festività
E-00005,2022-03-18,Parental
E-00005,2022-04-04,Moving Day
E-00005,2022-04-08,SEGRO Paid Parental
E-00005,2022-04-13,Emergency
E-00005,2022-05-25,Unpaid
E-00005,2022-06-14,Emergency
E-00005,2022-06-23,Emergency
E-00005,2022-07-01,Dependants
E-00005,2022-07-27,SEGRO Paid Paternity
E-00005,2022-08-26,Emergency
E-00005,2022-09-12,Study
E-00005,2022-09-22,Loyalty
E-00005,2022-10-04,Parental
E-00005,2022-10-05,SEGRO Paid Paternity
E-00005,2022-10-18,Emergency
E-00005,2022-11-08,Moving Day
E-00005,2022-11-21,Sickness
E-00005,2022-12-01,Paternity
E-00005,2023-01-30,Loyalty
E-00005,2023-02-03,Flexible Personal Leave
E-00005,2023-02-07,Loyalty
E-00005,2023-02-20,SEGRO Paid Parental
E-00005,2023-02-28,Other Special
E-00005,2023-03-03,Compassionate
E-00005,2023-03-06,SEGRO Paid Parental
E-00005,2023-03-07,Article 188
E-00005,2023-08-29,SEGRO Paid Parental
E-00005,2023-10-12,Other Special
E-00005,2023-11-14,Kit Day
E-00005,2024-01-09,Paternity
E-00005,2024-01-17,Compassionate
E-00005,2024-01-22,Unpaid
E-00005,2024-01-30,Compassionate
E-00005,2024-02-06,Maternity
E-00005,2024-02-07,SEGRO Paid Paternity
E-00005,2024-02-13,Study
E-00005,2024-02-20,Parental
E-00005,2024-02-22,Paternity
E-00005,2024-03-08,SEGRO Paid Paternity
E-00005,2024-03-15,Compassionate
E-00005,2024-03-21,Article 188
E-00005,2024-04-15,Article 188
E-00005,2024-04-16,Moving Day
E-00005,2024-04-22,Parental
E-00005,2024-05-15,Other Special
E-00005,2024-05-20,Other Special
E-00005,2024-06-20,Parental
E-00005,2024-07-04,Compassionate
E-00005,2024-08-14,Flexible Personal Leave
E-00005,2024-08-16,Ex-Festività
E-00005,2024-08-29,Emergency
E-00005,2024-09-03,Childcare
E-00005,2024-09-18,Fertility Support
E-00005,2024-10-08,Compassionate
E-00005,2024-10-21,Flexible Personal Leave
E-00005,2024-10-23,Study
E-00005,2024-11-12,SEGRO Paid Paternity
E-00005,2024-11-13,SEGRO Paid Parental
E-00005,2024-11-15,Loyalty
E-00005,2024-12-03,Compassionate
E-00005,2024-12-09,Sickness
E-00005,2024-12-11,Time off in Lieu
E-00005,2024-12-13,Parental
E-00005,2025-01-08,Article 188
E-00005,2025-01-20,Study
E-00005,2025-02-27,Sickness
E-00005,2025-03-04,Moving Day
E-00005,2025-03-05,Study
E-00005,2025-03-13,Maternity
E-00005,2025-03-26,Unpaid
E-00005,2025-04-11,Other Special
E-00005,2025-04-21,Moving Day
E-00006,2017-03-01,Kit Day
E-00006,2017-03-31,Fertility Support
E-00006,2017-04-10,Other Special
E-00006,2017-04-11,Parental
E-00006,2017-05-03,Fertility Support
E-00006,2017-06-12,Loyalty
E-00006,2017-06-15,Moving Day
E-00006,2017-06-23,SEGRO Paid Parental
E-00006,2017-06-27,Dependants
E-00006,2017-07-19,Paternity
E-00006,2017-08-28,Parental
E-00006,2017-09-05,Loyalty
E-00006,2017-09-14,Dependants
E-00006,2017-09-20,SEGRO Paid Paternity
E-00006,2017-10-09,Fertility Support
E-00006,2017-10-18,Moving Day
E-00006,2017-10-20,Moving Day
E-00006,2017-11-10,Study
E-00006,2017-11-24,Other Special
E-00006,2017-12-01,Article 188
E-00006,2017-12-07,Flexible Personal Leave
E-00006,2017-12-08,Article 188
E-00006,2017-12-18,Parental
E-00006,2018-01-25,SEGRO Paid Parental
E-00006,2018-03-16,Maternity
E-00006,2018-03-28,Moving Day
E-00006,2018-04-17,Study
E-00006,2018-04-30,Sickness
E-00006,2018-05-02,Fertility Support
E-00006,2018-05-23,Emergency
E-00006,2018-06-06,Loyalty
E-00006,2018-06-07,Loyalty
E-00006,2018-07-05,Moving Day
E-00006,2018-07-17,Childcare
E-00006,2018-07-26,Maternity
E-00006,2018-08-20,Moving Day
E-00006,2018-08-29,Flexible Personal Leave
E-00006,2018-10-22,SEGRO Paid Paternity
E-00006,2018-11-06,Other Special
E-00006,2018-11-14,SEGRO Paid Paternity
E-00006,2018-12-05,Childcare
E-00006,2019-01-10,Emergency
E-00006,2019-02-06,Flexible Personal Leave
E-00006,2019-02-14,Fertility Support
E-00006,2019-03-07,SEGRO Paid Parental
E-00006,2019-03-15,Fertility Support
E-00006,2019-03-29,Fertility Support
E-00006,2019-04-12,Compassionate
E-00006,2019-04-18,Other Special
E-00006,2019-06-13,Sickness
E-00006,2019-07-17,Parental
E-00006,2019-08-23,Compassionate
E-00006,2019-09-03,SEGRO Paid Paternity
E-00006,2019-09-11,Article 188
E-00006,2019-10-11,SEGRO Paid Parental
E-00006,2019-11-08,Fertility Support
E-00006,2019-11-11,Emergency
E-00006,2019-11-27,Compassionate
E-00006,2019-12-05,Other Special
E-00006,2019-12-13,SEGRO Paid Paternity
E-00006,2019-12-31,Article 188
E-00006,2020-01-03,Dependants
E-00006,2020-01-17,Paternity
E-00006,2020-02-10,Moving Day
E-00006,2020-02-17,Moving Day
E-00006,2020-02-18,Emergency
E-00006,2020-02-24,Article 188
E-00006,2020-02-25,Flexible Personal Leave
E-00006,2020-03-03,Flexible Personal Leave
E-00006,2020-03-09,Paternity
E-00006,2020-04-09,Kit Day
E-00006,2020-04-27,Parental
E-00006,2020-05-11,Article 188
E-00006,2020-05-25,Article 188
E-00006,2020-06-10,Article 188
E-00006,2020-07-07,Sickness
E-00006,2020-07-24,SEGRO Paid Parental
E-00006,2020-08-11,Fertility Support
E-00006,2020-08-14,Childcare
E-00006,2020-08-25,Flexible Personal Leave
E-00006,2020-09-14,Compassionate
E-00006,2020-10-02,Maternity
E-00006,2020-10-05,Flexible Personal Leave
E-00006,2020-10-06,Article 188
E-00006,2020-10-27,Maternity
E-00006,2020-11-02,Emergency
E-00006,2020-11-09,Compassionate
E-00006,2020-11-13,Time off in Lieu
E-00006,2020-11-16,Dependants
E-00006,2020-12-30,Emergency
E-00006,2021-01-18,Moving Day
E-00006,2021-02-25,Emergency
E-00006,2021-03-22,Compassionate
E-00006,2021-03-29,Parental
E-00006,2021-03-31,SEGRO Paid Paternity
E-00006,2021-04-01,Maternity
E-00006,2021-04-09,Other Special
E-00006,2021-06-04,Paternity
E-00006,2021-06-14,Article 188
E-00006,2021-06-24,Sickness
E-00006,2021-08-05,Compassionate
E-00006,2021-08-17,Emergency
E-00006,2021-08-18,Kit Day
E-00006,2021-09-09,Kit Day
E-00006,2021-09-27,Sickness
E-00006,2021-09-29,Article 188
E-00006,2021-10-07,Moving Day
E-00006,2021-11-02,Compassionate
E-00006,2021-11-10,SEGRO Paid Paternity
E-00006,2021-11-12,Kit Day
E-00006,2021-11-17,SEGRO Paid Paternity
E-00006,2021-12-08,Sickness
E-00006,2021-12-15,SEGRO Paid Parental
E-00006,2022-01-11,Dependants
E-00006,2022-02-01,Kit Day
E-00006,2022-02-08,Other Special
E-00006,2022-02-16,Fertility Support
E-00006,2022-02-21,Other Special
E-00006,2022-03-07,Compassionate
E-00006,2022-03-14,Sickness
E-00006,2022-03-21,Dependants
E-00006,2022-05-11,Emergency
E-00006,2022-05-24,Dependants
E-00006,2022-07-08,Compassionate
E-00006,2022-07-25,Study
E-00006,2022-08-08,Sickness
E-00006,2022-09-09,Fertility Support
E-00006,2022-09-19,Other Special
E-00006,2022-09-20,Moving Day
E-00006,2022-10-07,Other Special
E-00006,2022-10-10,Loyalty
E-00006,2022-10-19,Childcare
E-00006,2022-11-03,Compassionate
E-00006,2022-11-14,Study
E-00006,2022-12-02,Time off in Lieu
E-00006,2022-12-13,Maternity
E-00006,2023-01-04,Paternity
E-00006,2023-01-06,Unpaid
E-00006,2023-01-19,SEGRO Paid Paternity
E-00006,2023-02-03,SEGRO Paid Paternity
E-00006,2023-02-22,Other Special
E-00006,2023-02-23,SEGRO Paid Paternity
E-00006,2023-02-24,Kit Day
E-00006,2023-03-06,Article 188
E-00006,2023-03-09,Other Special
E-00006,2023-04-14,Sickness
E-00006,2023-05-29,Paternity
E-00006,2023-05-30,Fertility Support
E-00006,2023-06-19,Parental
E-00006,2023-06-23,Moving Day
E-00006,2023-09-15,Ex-Festività
E-00006,2023-10-18,Paternity
E-00006,2023-12-29,Compassionate
E-00006,2024-01-02,Loyalty
E-00006,2024-01-25,SEGRO Paid Paternity
E-00006,2024-01-31,SEGRO Paid Parental
E-00006,2024-02-07,Emergency
E-00006,2024-03-21,Loyalty
E-00006,2024-04-22,Paternity
E-00006,2024-04-26,Kit Day
E-00006,2024-05-14,Maternity
E-00006,2024-05-15,Flexible Personal Leave
E-00006,2024-05-17,Parental
E-00006,2024-05-24,Paternity
E-00006,2024-05-27,SEGRO Paid Paternity
E-00006,2024-05-29,Kit Day
E-00006,2024-06-20,Sickness
E-00006,2024-06-21,Paternity
E-00006,2024-06-28,Fertility Support
E-00006,2024-07-18,Paternity
E-00006,2024-07-22,Study
E-00006,2024-08-15,Parental
E-00006,2024-08-16,Loyalty
E-00006,2024-08-22,Moving Day
E-00006,2024-09-03,Dependants
E-00006,2024-10-18,Emergency
E-00006,2024-10-30,Flexible Personal Leave
E-00006,2024-11-13,Article 188
E-00006,2024-12-09,Childcare
E-00006,2024-12-11,Sickness
E-00006,2024-12-26,Parental
E-00006,2025-01-06,SEGRO Paid Paternity
E-00006,2025-02-20,SEGRO Paid Parental
E-00006,2025-03-04,Time off in Lieu
E-00006,2025-03-21,Paternity
E-00006,2025-04-08,Moving Day
E-00006,2025-04-15,Compassionate
E-00006,2025-05-01,Article 188
E-00007,2004-07-09,Compassionate
E-00007,2004-08-17,Flexible Personal Leave
E-00007,2004-09-06,Sickness
E-00007,2004-09-20,Maternity
E-00007,2004-09-21,Ex-Festività
E-00007,2004-10-06,Unpaid
E-00007,2004-10-22,Parental
E-00007,2004-10-28,Time off in Lieu
E-00007,2004-11-01,Fertility Support
E-00007,2005-01-05,Other Special
E-00007,2005-01-27,SEGRO Paid Parental
E-00007,2005-02-10,Sickness
E-00007,2005-02-21,Study
E-00007,2005-02-22,Fertility Support
E-00007,2005-03-07,Flexible Personal Leave
E-00007,2005-04-08,Emergency
E-00007,2005-04-21,Loyalty
E-00007,2005-05-02,Sickness
E-00007,2005-06-13,Article 188
E-00007,2005-07-04,Flexible Personal Leave
E-00007,2005-08-16,Compassionate
E-00007,2005-09-08,Childcare
E-00007,2005-10-07,Paternity
E-00007,2005-10-17,Dependants
E-00007,2005-11-14,Time off in Lieu
E-00007,2005-11-18,SEGRO Paid Paternity
E-00007,2005-12-05,Time off in Lieu
E-00007,2005-12-20,Paternity
E-00007,2005-12-22,SEGRO Paid Paternity
E-00007,2006-01-09,Study
E-00007,2006-01-12,Unpaid
E-00007,2006-01-25,Fertility Support
E-00007,2006-02-09,Loyalty
E-00007,2006-02-14,Maternity
E-00007,2006-02-16,Dependants
E-00007,2006-02-21,Time off in Lieu
E-00007,2006-03-27,Maternity
E-00007,2006-04-17,Study
E-00007,2006-04-19,Dependants
E-00007,2006-05-25,Compassionate
E-00007,2006-06-05,Compassionate
E-00007,2006-06-23,Dependants
E-00007,2006-06-26,Dependants
E-00007,2006-07-20,Sickness
E-00007,2006-08-07,Kit Day
E-00007,2006-08-09,Compassionate
E-00007,2006-08-28,Loyalty
E-00007,2006-09-11,Parental
E-00007,2006-09-21,Study
E-00007,2006-09-25,Sickness
E-00007,2006-11-02,Kit Day
E-00007,2006-11-06,Article 188
E-00007,2006-12-15,Moving Day
E-00007,2007-01-02,Sickness
E-00007,2007-01-30,Fertility Support
E-00007,2007-03-29,Childcare
E-00007,2007-04-10,Kit Day
E-00007,2007-05-21,Compassionate
E-00007,2007-06-25,Sickness
E-00007,2007-07-09,Moving Day
E-00007,2007-07-25,Compassionate
E-00007,2007-08-20,SEGRO Paid Paternity
E-00007,2007-08-22,Study
E-00007,2007-09-11,Childcare
E-00007,2007-09-13,Compassionate
E-00007,2007-09-26,Maternity
E-00007,2007-10-23,Article 188
E-00007,2007-11-30,Compassionate
E-00007,2007-12-05,Article 188
E-00007,2007-12-14,Article 188
E-00007,2007-12-20,Parental
E-00007,2007-12-27,Maternity
E-00007,2008-01-11,Paternity
E-00007,2008-02-13,Paternity
E-00007,2008-05-12,Kit Day
E-00007,2008-05-28,Emergency
E-00007,2008-07-07,SEGRO Paid Parental
E-00007,2008-08-13,Dependants
E-00007,2008-08-15,Paternity
E-00007,2008-08-20,Time off in Lieu
E-00007,2008-09-22,SEGRO Paid Paternity
E-00007,2008-11-04,Time off in Lieu
E-00007,2008-11-14,Fertility Support
E-00007,2008-11-24,Parental
E-00007,2008-12-12,SEGRO Paid Paternity
E-00007,2008-12-18,Other Special
E-00007,2009-03-25,SEGRO Paid Parental
E-00007,2009-04-03,Compassionate
E-00007,2009-04-09,Childcare
E-00007,2009-04-16,Article 188
E-00007,2009-06-03,Maternity
E-00007,2009-07-09,Parental
E-00007,2009-07-14,Compassionate
E-00007,2009-07-30,Emergency
E-00007,2009-08-13,Maternity
E-00007,2009-09-04,Other Special
E-00007,2009-09-30,Emergency
E-00007,2009-10-08,Paternity
E-00007,2009-11-10,Dependants
E-00007,2009-12-24,Paternity
E-00007,2009-12-25,Moving Day
E-00007,2010-02-08,Ex-Festività
E-00007,2010-04-13,SEGRO Paid Parental
E-00007,2010-04-16,Unpaid
E-00007,2010-05-18,Time off in Lieu
E-00007,2010-05-25,Paternity
E-00007,2010-05-27,SEGRO Paid Parental
E-00007,2010-06-24,Childcare
E-00007,2010-07-14,Study
E-00007,2010-07-15,Unpaid
E-00007,2010-10-07,Maternity
E-00007,2010-10-19,Study
E-00007,2010-11-25,Kit Day
E-00007,2010-12-22,Study
E-00007,2011-01-25,Moving Day
E-00007,2011-02-03,Flexible Personal Leave
E-00007,2011-02-04,Parental
E-00007,2011-02-25,SEGRO Paid Paternity
E-00007,2011-03-22,Flexible Personal Leave
E-00007,2011-03-30,SEGRO Paid Paternity
E-00007,2011-04-05,Compassionate
E-00007,2011-06-07,Sickness
E-00007,2011-07-15,Article 188
